l1,l2,dropout,valacc
0,0,0,[0.34127822518348694]
1,0,0,"[0.02256907895207405, 0.06918371468782425, 0.02256907895207405, 0.16726429760456085, 0.16726429760456085]"
0,0,0,"[0.284539133310318, 0.3963298797607422, 0.4136258065700531, 0.41763341426849365, 0.47373971343040466]"
0.0001,0,0,"[0.208394855260849, 0.3516135811805725, 0.399282842874527, 0.40982913970947266, 0.438726007938385]"
0.001,0,0,"[0.02256907895207405, 0.4353511929512024, 0.16852985322475433, 0.06412149220705032, 0.16726429760456085]"
0.01,0,0,"[0.031638894230127335, 0.031638894230127335, 0.06412149220705032, 0.4353511929512024, 0.02256907895207405]"
0.1,0,0,"[0.02784222736954689, 0.031638894230127335, 0.16726429760456085, 0.16726429760456085, 0.16852985322475433]"
0,1,0,"[0.02256907895207405, 0.02256907895207405, 0.4353511929512024, 0.4353511929512024, 0.031638894230127335]"
0,0,0,"[0.3670111894607544, 0.4197426736354828, 0.47373971343040466, 0.3792448937892914, 0.4072980284690857]"
0,0.0001,0,"[0.2952963411808014, 0.4321872889995575, 0.4553891718387604, 0.40371230244636536, 0.3575195074081421]"
0,0.001,0,"[0.29761654138565063, 0.4351402521133423, 0.3341067433357239, 0.4148913621902466, 0.4572874903678894]"
0,0.01,0,"[0.02256907895207405, 0.031638894230127335, 0.031638894230127335, 0.031638894230127335, 0.031638894230127335]"
0,0.1,0,"[0.02784222736954689, 0.4353511929512024, 0.06412149220705032, 0.02256907895207405, 0.02256907895207405]"
0,0,0.0,"[0.33368489146232605, 0.3937987685203552, 0.4151023030281067, 0.33684876561164856, 0.41742247343063354]"
0,0,0.1,"[0.31153765320777893, 0.47036489844322205, 0.3144906163215637, 0.4024467468261719, 0.4775363802909851]"
0,0,0.2,"[0.40350136160850525, 0.4248048961162567, 0.3686985969543457, 0.42248469591140747, 0.40033748745918274]"
0,0,0.3,"[0.3296772837638855, 0.39105674624443054, 0.41004008054733276, 0.46403712034225464, 0.5100190043449402]"
0,0,0.4,"[0.3324193060398102, 0.3438093364238739, 0.3252478241920471, 0.37544822692871094, 0.3423328399658203]"
0,0,0.5,"[0.4060324728488922, 0.38810378313064575, 0.27420374751091003, 0.2988820970058441, 0.31364691257476807]"
0,0,0.6,"[0.21430078148841858, 0.21071504056453705, 0.19025522470474243, 0.2394009679555893, 0.1883568912744522]"
0,0,0.7,"[0.1678970754146576, 0.22273781895637512, 0.1710609644651413, 0.20101244747638702, 0.1881459653377533]"
0,0,0.8,"[0.16726429760456085, 0.16726429760456085, 0.16726429760456085, 0.16726429760456085, 0.16726429760456085]"
0,0,0.9,"[0.16852985322475433, 0.16726429760456085, 0.16726429760456085, 0.16726429760456085, 0.16726429760456085]"
